name,region,date,value
Number of applications for consumer loans,Amur region,2014-04-15,6270
Number of applications for consumer loans,Amur region,2014-05-15,6023
Number of applications for consumer loans,Amur region,2014-06-15,6379
Number of applications for consumer loans,Amur region,2014-07-15,7479
Number of applications for consumer loans,Amur region,2014-08-15,7157
Number of applications for consumer loans,Amur region,2014-09-15,6392
Number of applications for consumer loans,Amur region,2014-10-15,6267
Number of applications for consumer loans,Amur region,2014-11-15,5141
Number of applications for consumer loans,Amur region,2014-12-15,6375
Number of applications for consumer loans,Amur region,2015-01-15,1991
Number of applications for consumer loans,Amur region,2015-02-15,2096
Number of applications for consumer loans,Amur region,2015-03-15,2581
Number of applications for consumer loans,Amur region,2015-04-15,3625
Number of applications for consumer loans,Amur region,2015-05-15,3470
Number of applications for consumer loans,Amur region,2015-06-15,6418
Number of applications for consumer loans,Amur region,2015-07-15,6997
Number of applications for consumer loans,Amur region,2015-08-15,6202
Number of applications for consumer loans,Amur region,2015-09-15,5499
Number of applications for consumer loans,Amur region,2015-10-15,5721
Number of applications for consumer loans,Amur region,2015-11-15,4961
Number of applications for consumer loans,Amur region,2015-12-15,7219
Number of applications for consumer loans,Amur region,2016-01-15,4713
Number of applications for consumer loans,Amur region,2016-02-15,4995
Number of applications for consumer loans,Amur region,2016-03-15,5403
Number of applications for consumer loans,Amur region,2016-04-15,5984
Number of applications for consumer loans,Amur region,2016-05-15,6280
Number of applications for consumer loans,Amur region,2016-06-15,6706
Number of applications for consumer loans,Amur region,2016-07-15,6846
Number of applications for consumer loans,Amur region,2016-08-15,7521
Number of applications for consumer loans,Amur region,2016-09-15,6358
Number of applications for consumer loans,Amur region,2016-10-15,6209
Number of applications for consumer loans,Amur region,2016-11-15,6061
Number of applications for consumer loans,Amur region,2016-12-15,6923
Number of applications for consumer loans,Amur region,2017-01-15,4741
Number of applications for consumer loans,Amur region,2017-02-15,5134
Number of applications for consumer loans,Amur region,2017-03-15,6968
Number of applications for consumer loans,Amur region,2017-04-15,5651
Number of applications for consumer loans,Archangelsk region,2013-01-15,7517
Number of applications for consumer loans,Archangelsk region,2013-02-15,5282
Number of applications for consumer loans,Archangelsk region,2013-03-15,6727
Number of applications for consumer loans,Archangelsk region,2013-04-15,9128
Number of applications for consumer loans,Archangelsk region,2013-05-15,9471
Number of applications for consumer loans,Archangelsk region,2013-06-15,7769
Number of applications for consumer loans,Archangelsk region,2013-07-15,9149
Number of applications for consumer loans,Archangelsk region,2013-08-15,8992
Number of applications for consumer loans,Archangelsk region,2013-09-15,9392
Number of applications for consumer loans,Archangelsk region,2013-10-15,11847
Number of applications for consumer loans,Archangelsk region,2013-11-15,12033
Number of applications for consumer loans,Archangelsk region,2013-12-15,13752
Number of applications for consumer loans,Archangelsk region,2014-01-15,6348
Number of applications for consumer loans,Archangelsk region,2014-02-15,9573
Number of applications for consumer loans,Archangelsk region,2014-03-15,9506
Number of applications for consumer loans,Archangelsk region,2014-04-15,12224
Number of applications for consumer loans,Archangelsk region,2014-05-15,10911
Number of applications for consumer loans,Archangelsk region,2014-06-15,10987
Number of applications for consumer loans,Archangelsk region,2014-07-15,11949
Number of applications for consumer loans,Archangelsk region,2014-08-15,11349
Number of applications for consumer loans,Archangelsk region,2014-09-15,10101
Number of applications for consumer loans,Archangelsk region,2014-10-15,10732
Number of applications for consumer loans,Archangelsk region,2014-11-15,9715
Number of applications for consumer loans,Archangelsk region,2014-12-15,11310
Number of applications for consumer loans,Archangelsk region,2015-01-15,3390
Number of applications for consumer loans,Archangelsk region,2015-02-15,4243
Number of applications for consumer loans,Archangelsk region,2015-03-15,5141
Number of applications for consumer loans,Archangelsk region,2015-04-15,7131
Number of applications for consumer loans,Archangelsk region,2015-05-15,6415
Number of applications for consumer loans,Archangelsk region,2015-06-15,11022
Number of applications for consumer loans,Archangelsk region,2015-07-15,10928
Number of applications for consumer loans,Archangelsk region,2015-08-15,10099
Number of applications for consumer loans,Archangelsk region,2015-09-15,9483
Number of applications for consumer loans,Archangelsk region,2015-10-15,9133
Number of applications for consumer loans,Archangelsk region,2015-11-15,8583
Number of applications for consumer loans,Archangelsk region,2015-12-15,11746
Number of applications for consumer loans,Archangelsk region,2016-01-15,6494
Number of applications for consumer loans,Archangelsk region,2016-02-15,7440
Number of applications for consumer loans,Archangelsk region,2016-03-15,8632
Number of applications for consumer loans,Archangelsk region,2016-04-15,9123
Number of applications for consumer loans,Archangelsk region,2016-05-15,9594
Number of applications for consumer loans,Archangelsk region,2016-06-15,10137
Number of applications for consumer loans,Archangelsk region,2016-07-15,9190
Number of applications for consumer loans,Archangelsk region,2016-08-15,10515
Number of applications for consumer loans,Archangelsk region,2016-09-15,9433
Number of applications for consumer loans,Archangelsk region,2016-10-15,9417
Number of applications for consumer loans,Archangelsk region,2016-11-15,9745
Number of applications for consumer loans,Archangelsk region,2016-12-15,11643
Number of applications for consumer loans,Archangelsk region,2017-01-15,7534
Number of applications for consumer loans,Archangelsk region,2017-02-15,7980
Number of applications for consumer loans,Archangelsk region,2017-03-15,10059
Number of applications for consumer loans,Archangelsk region,2017-04-15,9242
Number of applications for consumer loans,Astrahanskaya oblast,2013-01-15,4681
Number of applications for consumer loans,Astrahanskaya oblast,2013-02-15,4420
Number of applications for consumer loans,Astrahanskaya oblast,2013-03-15,5682
Number of applications for consumer loans,Astrahanskaya oblast,2013-04-15,6524
Number of applications for consumer loans,Astrahanskaya oblast,2013-05-15,7032
Number of applications for consumer loans,Astrahanskaya oblast,2013-06-15,6535
Number of applications for consumer loans,Astrahanskaya oblast,2013-07-15,8028
Number of applications for consumer loans,Astrahanskaya oblast,2013-08-15,8127
