name,region,date,value
The average amount of an application for a consumer loan,Saratov region,2017-03-15,180639
The average amount of an application for a consumer loan,Saratov region,2017-04-15,181560
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-01-15,287424
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-02-15,286270
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-03-15,288913
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-04-15,299623
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-05-15,315523
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-06-15,298971
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-07-15,302847
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-08-15,320179
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-09-15,313256
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-10-15,326141
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-11-15,329144
The average amount of an application for a consumer loan,Sakhalin Oblast,2013-12-15,310234
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-01-15,285922
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-02-15,317208
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-03-15,316530
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-04-15,315792
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-05-15,319079
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-06-15,313470
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-07-15,301543
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-08-15,293775
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-09-15,286936
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-10-15,263619
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-11-15,261381
The average amount of an application for a consumer loan,Sakhalin Oblast,2014-12-15,273687
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-01-15,276919
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-02-15,257376
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-03-15,266442
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-04-15,267545
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-05-15,269480
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-06-15,288749
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-07-15,259594
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-08-15,272323
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-09-15,272284
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-10-15,308130
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-11-15,319445
The average amount of an application for a consumer loan,Sakhalin Oblast,2015-12-15,329261
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-01-15,321876
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-02-15,324722
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-03-15,315220
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-04-15,311337
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-05-15,315734
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-06-15,326759
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-07-15,317780
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-08-15,336737
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-09-15,337872
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-10-15,313779
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-11-15,334750
The average amount of an application for a consumer loan,Sakhalin Oblast,2016-12-15,345037
The average amount of an application for a consumer loan,Sakhalin Oblast,2017-01-15,349523
The average amount of an application for a consumer loan,Sakhalin Oblast,2017-02-15,325171
The average amount of an application for a consumer loan,Sakhalin Oblast,2017-03-15,340900
The average amount of an application for a consumer loan,Sakhalin Oblast,2017-04-15,359341
The average amount of an application for a consumer loan,Sverdlovsk region,2013-01-15,220538
The average amount of an application for a consumer loan,Sverdlovsk region,2013-02-15,237040
The average amount of an application for a consumer loan,Sverdlovsk region,2013-03-15,235796
The average amount of an application for a consumer loan,Sverdlovsk region,2013-04-15,232725
The average amount of an application for a consumer loan,Sverdlovsk region,2013-05-15,236509
The average amount of an application for a consumer loan,Sverdlovsk region,2013-06-15,227343
The average amount of an application for a consumer loan,Sverdlovsk region,2013-07-15,223353
The average amount of an application for a consumer loan,Sverdlovsk region,2013-08-15,251340
The average amount of an application for a consumer loan,Sverdlovsk region,2013-09-15,252474
The average amount of an application for a consumer loan,Sverdlovsk region,2013-10-15,253790
The average amount of an application for a consumer loan,Sverdlovsk region,2013-11-15,256817
The average amount of an application for a consumer loan,Sverdlovsk region,2013-12-15,252461
The average amount of an application for a consumer loan,Sverdlovsk region,2014-01-15,243580
The average amount of an application for a consumer loan,Sverdlovsk region,2014-02-15,251000
The average amount of an application for a consumer loan,Sverdlovsk region,2014-03-15,250197
The average amount of an application for a consumer loan,Sverdlovsk region,2014-04-15,238453
The average amount of an application for a consumer loan,Sverdlovsk region,2014-05-15,235417
The average amount of an application for a consumer loan,Sverdlovsk region,2014-06-15,232489
The average amount of an application for a consumer loan,Sverdlovsk region,2014-07-15,232202
The average amount of an application for a consumer loan,Sverdlovsk region,2014-08-15,225027
The average amount of an application for a consumer loan,Sverdlovsk region,2014-09-15,222257
The average amount of an application for a consumer loan,Sverdlovsk region,2014-10-15,217460
The average amount of an application for a consumer loan,Sverdlovsk region,2014-11-15,219901
The average amount of an application for a consumer loan,Sverdlovsk region,2014-12-15,220309
The average amount of an application for a consumer loan,Sverdlovsk region,2015-01-15,192834
The average amount of an application for a consumer loan,Sverdlovsk region,2015-02-15,201050
The average amount of an application for a consumer loan,Sverdlovsk region,2015-03-15,200363
The average amount of an application for a consumer loan,Sverdlovsk region,2015-04-15,198051
The average amount of an application for a consumer loan,Sverdlovsk region,2015-05-15,189958
The average amount of an application for a consumer loan,Sverdlovsk region,2015-06-15,192673
The average amount of an application for a consumer loan,Sverdlovsk region,2015-07-15,186904
The average amount of an application for a consumer loan,Sverdlovsk region,2015-08-15,187959
The average amount of an application for a consumer loan,Sverdlovsk region,2015-09-15,188285
The average amount of an application for a consumer loan,Sverdlovsk region,2015-10-15,208823
The average amount of an application for a consumer loan,Sverdlovsk region,2015-11-15,210013
The average amount of an application for a consumer loan,Sverdlovsk region,2015-12-15,226553
The average amount of an application for a consumer loan,Sverdlovsk region,2016-01-15,228467
The average amount of an application for a consumer loan,Sverdlovsk region,2016-02-15,222139
The average amount of an application for a consumer loan,Sverdlovsk region,2016-03-15,213384
The average amount of an application for a consumer loan,Sverdlovsk region,2016-04-15,214011
The average amount of an application for a consumer loan,Sverdlovsk region,2016-05-15,208002
The average amount of an application for a consumer loan,Sverdlovsk region,2016-06-15,206555
The average amount of an application for a consumer loan,Sverdlovsk region,2016-07-15,205010
The average amount of an application for a consumer loan,Sverdlovsk region,2016-08-15,223056
The average amount of an application for a consumer loan,Sverdlovsk region,2016-09-15,221082
The average amount of an application for a consumer loan,Sverdlovsk region,2016-10-15,221716
The average amount of an application for a consumer loan,Sverdlovsk region,2016-11-15,226501
The average amount of an application for a consumer loan,Sverdlovsk region,2016-12-15,229171
The average amount of an application for a consumer loan,Sverdlovsk region,2017-01-15,241056
The average amount of an application for a consumer loan,Sverdlovsk region,2017-02-15,239265
The average amount of an application for a consumer loan,Sverdlovsk region,2017-03-15,236511
The average amount of an application for a consumer loan,Sverdlovsk region,2017-04-15,246940
The average amount of an application for a consumer loan,Smolensk region,2013-01-15,156063
The average amount of an application for a consumer loan,Smolensk region,2013-02-15,166950
The average amount of an application for a consumer loan,Smolensk region,2013-03-15,169264
The average amount of an application for a consumer loan,Smolensk region,2013-04-15,171466
The average amount of an application for a consumer loan,Smolensk region,2013-05-15,177606
The average amount of an application for a consumer loan,Smolensk region,2013-06-15,162424
The average amount of an application for a consumer loan,Smolensk region,2013-07-15,164122
The average amount of an application for a consumer loan,Smolensk region,2013-08-15,183414
The average amount of an application for a consumer loan,Smolensk region,2013-09-15,179458
The average amount of an application for a consumer loan,Smolensk region,2013-10-15,186975
The average amount of an application for a consumer loan,Smolensk region,2013-11-15,189218
The average amount of an application for a consumer loan,Smolensk region,2013-12-15,183573
The average amount of an application for a consumer loan,Smolensk region,2014-01-15,178416
The average amount of an application for a consumer loan,Smolensk region,2014-02-15,187432
The average amount of an application for a consumer loan,Smolensk region,2014-03-15,180219
The average amount of an application for a consumer loan,Smolensk region,2014-04-15,174576
The average amount of an application for a consumer loan,Smolensk region,2014-05-15,182955
The average amount of an application for a consumer loan,Smolensk region,2014-06-15,173973
The average amount of an application for a consumer loan,Smolensk region,2014-07-15,176773
The average amount of an application for a consumer loan,Smolensk region,2014-08-15,181461
The average amount of an application for a consumer loan,Smolensk region,2014-09-15,178602
The average amount of an application for a consumer loan,Smolensk region,2014-10-15,167650
The average amount of an application for a consumer loan,Smolensk region,2014-11-15,172881
The average amount of an application for a consumer loan,Smolensk region,2014-12-15,179398
The average amount of an application for a consumer loan,Smolensk region,2015-01-15,161921
The average amount of an application for a consumer loan,Smolensk region,2015-02-15,158192
The average amount of an application for a consumer loan,Smolensk region,2015-03-15,147802
The average amount of an application for a consumer loan,Smolensk region,2015-04-15,160386
The average amount of an application for a consumer loan,Smolensk region,2015-05-15,157129
The average amount of an application for a consumer loan,Smolensk region,2015-06-15,159803
The average amount of an application for a consumer loan,Smolensk region,2015-07-15,161638
The average amount of an application for a consumer loan,Smolensk region,2015-08-15,160545
The average amount of an application for a consumer loan,Smolensk region,2015-09-15,160321
The average amount of an application for a consumer loan,Smolensk region,2015-10-15,169078
The average amount of an application for a consumer loan,Smolensk region,2015-11-15,168477
The average amount of an application for a consumer loan,Smolensk region,2015-12-15,185712
The average amount of an application for a consumer loan,Smolensk region,2016-01-15,190726
The average amount of an application for a consumer loan,Smolensk region,2016-02-15,184988
The average amount of an application for a consumer loan,Smolensk region,2016-03-15,179095
The average amount of an application for a consumer loan,Smolensk region,2016-04-15,171559
The average amount of an application for a consumer loan,Smolensk region,2016-05-15,173462
The average amount of an application for a consumer loan,Smolensk region,2016-06-15,168925
The average amount of an application for a consumer loan,Smolensk region,2016-07-15,172543
The average amount of an application for a consumer loan,Smolensk region,2016-08-15,186029
The average amount of an application for a consumer loan,Smolensk region,2016-09-15,185539
The average amount of an application for a consumer loan,Smolensk region,2016-10-15,182682
The average amount of an application for a consumer loan,Smolensk region,2016-11-15,189010
The average amount of an application for a consumer loan,Smolensk region,2016-12-15,194432
The average amount of an application for a consumer loan,Smolensk region,2017-01-15,204407
The average amount of an application for a consumer loan,Smolensk region,2017-02-15,205533
The average amount of an application for a consumer loan,Smolensk region,2017-03-15,201136
The average amount of an application for a consumer loan,Smolensk region,2017-04-15,203553
The average amount of an application for a consumer loan,Stavropol region,2013-01-15,172309
The average amount of an application for a consumer loan,Stavropol region,2013-02-15,178446
The average amount of an application for a consumer loan,Stavropol region,2013-03-15,179909
The average amount of an application for a consumer loan,Stavropol region,2013-04-15,184032
The average amount of an application for a consumer loan,Stavropol region,2013-05-15,186675
The average amount of an application for a consumer loan,Stavropol region,2013-06-15,176195
The average amount of an application for a consumer loan,Stavropol region,2013-07-15,177995
The average amount of an application for a consumer loan,Stavropol region,2013-08-15,197509
The average amount of an application for a consumer loan,Stavropol region,2013-09-15,192130
The average amount of an application for a consumer loan,Stavropol region,2013-10-15,200735
The average amount of an application for a consumer loan,Stavropol region,2013-11-15,202119
The average amount of an application for a consumer loan,Stavropol region,2013-12-15,200003
The average amount of an application for a consumer loan,Stavropol region,2014-01-15,183553
The average amount of an application for a consumer loan,Stavropol region,2014-02-15,184694
The average amount of an application for a consumer loan,Stavropol region,2014-03-15,195187
The average amount of an application for a consumer loan,Stavropol region,2014-04-15,186239
The average amount of an application for a consumer loan,Stavropol region,2014-05-15,191489
The average amount of an application for a consumer loan,Stavropol region,2014-06-15,189386
The average amount of an application for a consumer loan,Stavropol region,2014-07-15,185865
The average amount of an application for a consumer loan,Stavropol region,2014-08-15,180694
The average amount of an application for a consumer loan,Stavropol region,2014-09-15,176671
The average amount of an application for a consumer loan,Stavropol region,2014-10-15,170466
The average amount of an application for a consumer loan,Stavropol region,2014-11-15,175591
The average amount of an application for a consumer loan,Stavropol region,2014-12-15,197075
The average amount of an application for a consumer loan,Stavropol region,2015-01-15,166506
The average amount of an application for a consumer loan,Stavropol region,2015-02-15,164200
The average amount of an application for a consumer loan,Stavropol region,2015-03-15,161758
The average amount of an application for a consumer loan,Stavropol region,2015-04-15,164895
The average amount of an application for a consumer loan,Stavropol region,2015-05-15,155435
The average amount of an application for a consumer loan,Stavropol region,2015-06-15,165471
The average amount of an application for a consumer loan,Stavropol region,2015-07-15,163348
The average amount of an application for a consumer loan,Stavropol region,2015-08-15,164092
The average amount of an application for a consumer loan,Stavropol region,2015-09-15,161183
The average amount of an application for a consumer loan,Stavropol region,2015-10-15,178328
The average amount of an application for a consumer loan,Stavropol region,2015-11-15,178609
The average amount of an application for a consumer loan,Stavropol region,2015-12-15,201168
The average amount of an application for a consumer loan,Stavropol region,2016-01-15,202402
The average amount of an application for a consumer loan,Stavropol region,2016-02-15,175980
The average amount of an application for a consumer loan,Stavropol region,2016-03-15,187750
The average amount of an application for a consumer loan,Stavropol region,2016-04-15,187115
The average amount of an application for a consumer loan,Stavropol region,2016-05-15,186643
The average amount of an application for a consumer loan,Stavropol region,2016-06-15,180526
The average amount of an application for a consumer loan,Stavropol region,2016-07-15,181161
The average amount of an application for a consumer loan,Stavropol region,2016-08-15,195576
The average amount of an application for a consumer loan,Stavropol region,2016-09-15,189174
The average amount of an application for a consumer loan,Stavropol region,2016-10-15,190124
The average amount of an application for a consumer loan,Stavropol region,2016-11-15,197845
The average amount of an application for a consumer loan,Stavropol region,2016-12-15,200680
The average amount of an application for a consumer loan,Stavropol region,2017-01-15,212598
The average amount of an application for a consumer loan,Stavropol region,2017-02-15,206983
The average amount of an application for a consumer loan,Stavropol region,2017-03-15,206445
The average amount of an application for a consumer loan,Stavropol region,2017-04-15,215559
The average amount of an application for a consumer loan,Tambov Region,2013-01-15,148321
The average amount of an application for a consumer loan,Tambov Region,2013-02-15,164326
The average amount of an application for a consumer loan,Tambov Region,2013-03-15,164882
The average amount of an application for a consumer loan,Tambov Region,2013-04-15,169329
The average amount of an application for a consumer loan,Tambov Region,2013-05-15,169578
The average amount of an application for a consumer loan,Tambov Region,2013-06-15,162227
The average amount of an application for a consumer loan,Tambov Region,2013-07-15,157754
The average amount of an application for a consumer loan,Tambov Region,2013-08-15,176450
The average amount of an application for a consumer loan,Tambov Region,2013-09-15,181916
The average amount of an application for a consumer loan,Tambov Region,2013-10-15,191147
The average amount of an application for a consumer loan,Tambov Region,2013-11-15,189981
The average amount of an application for a consumer loan,Tambov Region,2013-12-15,187067
The average amount of an application for a consumer loan,Tambov Region,2014-01-15,180578
The average amount of an application for a consumer loan,Tambov Region,2014-02-15,183131
The average amount of an application for a consumer loan,Tambov Region,2014-03-15,181663
The average amount of an application for a consumer loan,Tambov Region,2014-04-15,173813
The average amount of an application for a consumer loan,Tambov Region,2014-05-15,174349
The average amount of an application for a consumer loan,Tambov Region,2014-06-15,175264
The average amount of an application for a consumer loan,Tambov Region,2014-07-15,170400
The average amount of an application for a consumer loan,Tambov Region,2014-08-15,172458
The average amount of an application for a consumer loan,Tambov Region,2014-09-15,173235
The average amount of an application for a consumer loan,Tambov Region,2014-10-15,168218
The average amount of an application for a consumer loan,Tambov Region,2014-11-15,174612
The average amount of an application for a consumer loan,Tambov Region,2014-12-15,177403
The average amount of an application for a consumer loan,Tambov Region,2015-01-15,154578
The average amount of an application for a consumer loan,Tambov Region,2015-02-15,151665
The average amount of an application for a consumer loan,Tambov Region,2015-03-15,152642
The average amount of an application for a consumer loan,Tambov Region,2015-04-15,150168
The average amount of an application for a consumer loan,Tambov Region,2015-05-15,148785
The average amount of an application for a consumer loan,Tambov Region,2015-06-15,155000
The average amount of an application for a consumer loan,Tambov Region,2015-07-15,153817
The average amount of an application for a consumer loan,Tambov Region,2015-08-15,156340
The average amount of an application for a consumer loan,Tambov Region,2015-09-15,149512
The average amount of an application for a consumer loan,Tambov Region,2015-10-15,159847
The average amount of an application for a consumer loan,Tambov Region,2015-11-15,163883
The average amount of an application for a consumer loan,Tambov Region,2015-12-15,188035
The average amount of an application for a consumer loan,Tambov Region,2016-01-15,184265
The average amount of an application for a consumer loan,Tambov Region,2016-02-15,187275
The average amount of an application for a consumer loan,Tambov Region,2016-03-15,182140
The average amount of an application for a consumer loan,Tambov Region,2016-04-15,175187
The average amount of an application for a consumer loan,Tambov Region,2016-05-15,167785
The average amount of an application for a consumer loan,Tambov Region,2016-06-15,168937
The average amount of an application for a consumer loan,Tambov Region,2016-07-15,169411
The average amount of an application for a consumer loan,Tambov Region,2016-08-15,169197
The average amount of an application for a consumer loan,Tambov Region,2016-09-15,174970
The average amount of an application for a consumer loan,Tambov Region,2016-10-15,184311
The average amount of an application for a consumer loan,Tambov Region,2016-11-15,191318
The average amount of an application for a consumer loan,Tambov Region,2016-12-15,198526
The average amount of an application for a consumer loan,Tambov Region,2017-01-15,197988
The average amount of an application for a consumer loan,Tambov Region,2017-02-15,194422
The average amount of an application for a consumer loan,Tambov Region,2017-03-15,194737
The average amount of an application for a consumer loan,Tambov Region,2017-04-15,205349
The average amount of an application for a consumer loan,Tver region,2013-01-15,198154
The average amount of an application for a consumer loan,Tver region,2013-02-15,201411
The average amount of an application for a consumer loan,Tver region,2013-03-15,201710
The average amount of an application for a consumer loan,Tver region,2013-04-15,207741
The average amount of an application for a consumer loan,Tver region,2013-05-15,206877
The average amount of an application for a consumer loan,Tver region,2013-06-15,192760
The average amount of an application for a consumer loan,Tver region,2013-07-15,192343
The average amount of an application for a consumer loan,Tver region,2013-08-15,216743
The average amount of an application for a consumer loan,Tver region,2013-09-15,209465
The average amount of an application for a consumer loan,Tver region,2013-10-15,218810
The average amount of an application for a consumer loan,Tver region,2013-11-15,221372
The average amount of an application for a consumer loan,Tver region,2013-12-15,215508
The average amount of an application for a consumer loan,Tver region,2014-01-15,210705
The average amount of an application for a consumer loan,Tver region,2014-02-15,210950
The average amount of an application for a consumer loan,Tver region,2014-03-15,211570
The average amount of an application for a consumer loan,Tver region,2014-04-15,201877
The average amount of an application for a consumer loan,Tver region,2014-05-15,207724
The average amount of an application for a consumer loan,Tver region,2014-06-15,200886
The average amount of an application for a consumer loan,Tver region,2014-07-15,194328
The average amount of an application for a consumer loan,Tver region,2014-08-15,202311
The average amount of an application for a consumer loan,Tver region,2014-09-15,192948
The average amount of an application for a consumer loan,Tver region,2014-10-15,188213
The average amount of an application for a consumer loan,Tver region,2014-11-15,191710
The average amount of an application for a consumer loan,Tver region,2014-12-15,202554
The average amount of an application for a consumer loan,Tver region,2015-01-15,182986
The average amount of an application for a consumer loan,Tver region,2015-02-15,183877
The average amount of an application for a consumer loan,Tver region,2015-03-15,182134
The average amount of an application for a consumer loan,Tver region,2015-04-15,185564
The average amount of an application for a consumer loan,Tver region,2015-05-15,180641
The average amount of an application for a consumer loan,Tver region,2015-06-15,182213
The average amount of an application for a consumer loan,Tver region,2015-07-15,175729
The average amount of an application for a consumer loan,Tver region,2015-08-15,173376
The average amount of an application for a consumer loan,Tver region,2015-09-15,173959
The average amount of an application for a consumer loan,Tver region,2015-10-15,201803
The average amount of an application for a consumer loan,Tver region,2015-11-15,196307
The average amount of an application for a consumer loan,Tver region,2015-12-15,218365
The average amount of an application for a consumer loan,Tver region,2016-01-15,220441
The average amount of an application for a consumer loan,Tver region,2016-02-15,213314
The average amount of an application for a consumer loan,Tver region,2016-03-15,216599
The average amount of an application for a consumer loan,Tver region,2016-04-15,203156
The average amount of an application for a consumer loan,Tver region,2016-05-15,190933
The average amount of an application for a consumer loan,Tver region,2016-06-15,194359
The average amount of an application for a consumer loan,Tver region,2016-07-15,195110
The average amount of an application for a consumer loan,Tver region,2016-08-15,209730
The average amount of an application for a consumer loan,Tver region,2016-09-15,212820
The average amount of an application for a consumer loan,Tver region,2016-10-15,204989
The average amount of an application for a consumer loan,Tver region,2016-11-15,212512
The average amount of an application for a consumer loan,Tver region,2016-12-15,219498
The average amount of an application for a consumer loan,Tver region,2017-01-15,230169
The average amount of an application for a consumer loan,Tver region,2017-02-15,218369
The average amount of an application for a consumer loan,Tver region,2017-03-15,225796
The average amount of an application for a consumer loan,Tver region,2017-04-15,234046
The average amount of an application for a consumer loan,Tomsk Region,2013-01-15,188066
The average amount of an application for a consumer loan,Tomsk Region,2013-02-15,217721
The average amount of an application for a consumer loan,Tomsk Region,2013-03-15,205883
The average amount of an application for a consumer loan,Tomsk Region,2013-04-15,214993
The average amount of an application for a consumer loan,Tomsk Region,2013-05-15,219332
The average amount of an application for a consumer loan,Tomsk Region,2013-06-15,200207
The average amount of an application for a consumer loan,Tomsk Region,2013-07-15,195377
The average amount of an application for a consumer loan,Tomsk Region,2013-08-15,223542
The average amount of an application for a consumer loan,Tomsk Region,2013-09-15,220015
The average amount of an application for a consumer loan,Tomsk Region,2013-10-15,226063
The average amount of an application for a consumer loan,Tomsk Region,2013-11-15,230577
The average amount of an application for a consumer loan,Tomsk Region,2013-12-15,226197
The average amount of an application for a consumer loan,Tomsk Region,2014-01-15,214955
The average amount of an application for a consumer loan,Tomsk Region,2014-02-15,218623
The average amount of an application for a consumer loan,Tomsk Region,2014-03-15,224117
The average amount of an application for a consumer loan,Tomsk Region,2014-04-15,208431
The average amount of an application for a consumer loan,Tomsk Region,2014-05-15,213724
The average amount of an application for a consumer loan,Tomsk Region,2014-06-15,210441
The average amount of an application for a consumer loan,Tomsk Region,2014-07-15,203388
The average amount of an application for a consumer loan,Tomsk Region,2014-08-15,207927
The average amount of an application for a consumer loan,Tomsk Region,2014-09-15,209867
The average amount of an application for a consumer loan,Tomsk Region,2014-10-15,189219
The average amount of an application for a consumer loan,Tomsk Region,2014-11-15,193834
The average amount of an application for a consumer loan,Tomsk Region,2014-12-15,206475
The average amount of an application for a consumer loan,Tomsk Region,2015-01-15,191068
The average amount of an application for a consumer loan,Tomsk Region,2015-02-15,194607
The average amount of an application for a consumer loan,Tomsk Region,2015-03-15,183773
The average amount of an application for a consumer loan,Tomsk Region,2015-04-15,185916
The average amount of an application for a consumer loan,Tomsk Region,2015-05-15,179837
The average amount of an application for a consumer loan,Tomsk Region,2015-06-15,188869
The average amount of an application for a consumer loan,Tomsk Region,2015-07-15,176589
The average amount of an application for a consumer loan,Tomsk Region,2015-08-15,187140
The average amount of an application for a consumer loan,Tomsk Region,2015-09-15,185539
The average amount of an application for a consumer loan,Tomsk Region,2015-10-15,203157
The average amount of an application for a consumer loan,Tomsk Region,2015-11-15,205074
The average amount of an application for a consumer loan,Tomsk Region,2015-12-15,222644
The average amount of an application for a consumer loan,Tomsk Region,2016-01-15,225899
The average amount of an application for a consumer loan,Tomsk Region,2016-02-15,222451
The average amount of an application for a consumer loan,Tomsk Region,2016-03-15,219675
The average amount of an application for a consumer loan,Tomsk Region,2016-04-15,209142
The average amount of an application for a consumer loan,Tomsk Region,2016-05-15,204188
The average amount of an application for a consumer loan,Tomsk Region,2016-06-15,202057
The average amount of an application for a consumer loan,Tomsk Region,2016-07-15,197313
The average amount of an application for a consumer loan,Tomsk Region,2016-08-15,210680
The average amount of an application for a consumer loan,Tomsk Region,2016-09-15,213414
The average amount of an application for a consumer loan,Tomsk Region,2016-10-15,208446
The average amount of an application for a consumer loan,Tomsk Region,2016-11-15,218502
The average amount of an application for a consumer loan,Tomsk Region,2016-12-15,224458
The average amount of an application for a consumer loan,Tomsk Region,2017-01-15,226911
The average amount of an application for a consumer loan,Tomsk Region,2017-02-15,227863
The average amount of an application for a consumer loan,Tomsk Region,2017-03-15,230761
The average amount of an application for a consumer loan,Tomsk Region,2017-04-15,241750
The average amount of an application for a consumer loan,Tula region,2013-01-15,169552
The average amount of an application for a consumer loan,Tula region,2013-02-15,183392
The average amount of an application for a consumer loan,Tula region,2013-03-15,186881
The average amount of an application for a consumer loan,Tula region,2013-04-15,188563
The average amount of an application for a consumer loan,Tula region,2013-05-15,190627
The average amount of an application for a consumer loan,Tula region,2013-06-15,182632
The average amount of an application for a consumer loan,Tula region,2013-07-15,183846
The average amount of an application for a consumer loan,Tula region,2013-08-15,200895
The average amount of an application for a consumer loan,Tula region,2013-09-15,202043
The average amount of an application for a consumer loan,Tula region,2013-10-15,215627
The average amount of an application for a consumer loan,Tula region,2013-11-15,218730
The average amount of an application for a consumer loan,Tula region,2013-12-15,208843
The average amount of an application for a consumer loan,Tula region,2014-01-15,193489
The average amount of an application for a consumer loan,Tula region,2014-02-15,207584
The average amount of an application for a consumer loan,Tula region,2014-03-15,211806
The average amount of an application for a consumer loan,Tula region,2014-04-15,197632
The average amount of an application for a consumer loan,Tula region,2014-05-15,204159
The average amount of an application for a consumer loan,Tula region,2014-06-15,198078
The average amount of an application for a consumer loan,Tula region,2014-07-15,196746
The average amount of an application for a consumer loan,Tula region,2014-08-15,199751
The average amount of an application for a consumer loan,Tula region,2014-09-15,195868
The average amount of an application for a consumer loan,Tula region,2014-10-15,191088
The average amount of an application for a consumer loan,Tula region,2014-11-15,190205
The average amount of an application for a consumer loan,Tula region,2014-12-15,205220
The average amount of an application for a consumer loan,Tula region,2015-01-15,171973
The average amount of an application for a consumer loan,Tula region,2015-02-15,172570
The average amount of an application for a consumer loan,Tula region,2015-03-15,176181
The average amount of an application for a consumer loan,Tula region,2015-04-15,179547
The average amount of an application for a consumer loan,Tula region,2015-05-15,176703
The average amount of an application for a consumer loan,Tula region,2015-06-15,185711
The average amount of an application for a consumer loan,Tula region,2015-07-15,180688
The average amount of an application for a consumer loan,Tula region,2015-08-15,176752
The average amount of an application for a consumer loan,Tula region,2015-09-15,182365
The average amount of an application for a consumer loan,Tula region,2015-10-15,201855
The average amount of an application for a consumer loan,Tula region,2015-11-15,205896
The average amount of an application for a consumer loan,Tula region,2015-12-15,233725
The average amount of an application for a consumer loan,Tula region,2016-01-15,229748
The average amount of an application for a consumer loan,Tula region,2016-02-15,225115
The average amount of an application for a consumer loan,Tula region,2016-03-15,217799
The average amount of an application for a consumer loan,Tula region,2016-04-15,212004
The average amount of an application for a consumer loan,Tula region,2016-05-15,204594
The average amount of an application for a consumer loan,Tula region,2016-06-15,203599
The average amount of an application for a consumer loan,Tula region,2016-07-15,198678
The average amount of an application for a consumer loan,Tula region,2016-08-15,215596
The average amount of an application for a consumer loan,Tula region,2016-09-15,213932
The average amount of an application for a consumer loan,Tula region,2016-10-15,216949
The average amount of an application for a consumer loan,Tula region,2016-11-15,222488
The average amount of an application for a consumer loan,Tula region,2016-12-15,225610
The average amount of an application for a consumer loan,Tula region,2017-01-15,242834
The average amount of an application for a consumer loan,Tula region,2017-02-15,239899
The average amount of an application for a consumer loan,Tula region,2017-03-15,234116
The average amount of an application for a consumer loan,Tula region,2017-04-15,246500
The average amount of an application for a consumer loan,Tyumen region,2013-01-15,221123
The average amount of an application for a consumer loan,Tyumen region,2013-02-15,230316
The average amount of an application for a consumer loan,Tyumen region,2013-03-15,232822
The average amount of an application for a consumer loan,Tyumen region,2013-04-15,234353
The average amount of an application for a consumer loan,Tyumen region,2013-05-15,238289
The average amount of an application for a consumer loan,Tyumen region,2013-06-15,226662
The average amount of an application for a consumer loan,Tyumen region,2013-07-15,216981
The average amount of an application for a consumer loan,Tyumen region,2013-08-15,237992
The average amount of an application for a consumer loan,Tyumen region,2013-09-15,249232
The average amount of an application for a consumer loan,Tyumen region,2013-10-15,254744
The average amount of an application for a consumer loan,Tyumen region,2013-11-15,262609
The average amount of an application for a consumer loan,Tyumen region,2013-12-15,252796
